0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.37977806,0.048309177,0.4208494,0.35897437,0.05263158,0.05263158,0.87,0.10989011,0.44444445,0.6666667,0.3,0.05263158,0.63,0.53125,0.0,0.0,0.29166666,0.11691023,0.35,0.41935483,0.34615386,0.9259259
0.42663378,0.009661836,0.4054054,0.20512821,0.10526316,0.10526316,0.9,0.8021978,0.6666667,0.0,0.21,0.05263158,0.14,0.25,0.015151516,0.015151516,0.041666668,0.0,0.225,0.29032257,0.30769232,0.2777778
0.3082614,0.038647342,0.37065637,0.3846154,0.0,0.0,0.88,0.5934066,0.6666667,0.6666667,0.32,0.05263158,0.5,0.25,0.045454547,0.045454547,0.22916667,0.1336117,0.3,0.38709676,0.3846154,1.0
0.18002465,0.08695652,0.22007722,0.12820514,0.05263158,0.0,0.73,0.23076923,0.6666667,0.5,0.11,0.0,0.18,0.25,0.015151516,0.0,0.033333335,0.0,0.225,0.29032257,0.34615386,0.537037
0.12577066,0.009661836,0.17374517,0.32051283,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.3,0.2631579,0.33,0.03125,0.060606062,0.060606062,0.11666667,0.18580376,0.25,0.38709676,0.30769232,0.44444445
0.23921084,0.024154589,0.27413127,0.44871795,0.10526316,0.10526316,0.87,0.3956044,0.6666667,0.0,0.24,0.21052632,0.16,0.28125,0.030303031,0.030303031,0.14166667,0.08559499,0.3,0.32258064,0.34615386,0.37962964
0.23551172,0.028985508,0.27413127,0.5769231,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.45,0.21052632,0.44,0.25,0.0,0.0,0.175,0.21503131,0.225,0.38709676,0.30769232,0.44444445
0.5647349,0.1594203,0.63706565,0.17948718,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.14,0.0,0.14,0.0,0.0,0.0,0.033333335,0.0,0.25,0.0,0.30769232,0.537037
0.40073982,0.082125604,0.35135135,0.15384616,0.0,0.0,0.92,0.42857143,0.6666667,0.6666667,0.13,0.0,0.0,0.25,0.0,0.0,0.0625,0.0,0.275,0.0,0.30769232,0.8148148
0.2540074,0.014492754,0.1891892,0.4871795,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.39,0.31578946,0.08,0.03125,0.060606062,0.030303031,0.05,0.0,0.25,0.29032257,0.30769232,0.24074075
0.17385943,0.053140096,0.3243243,0.17948718,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.22,0.05263158,0.14,0.9375,0.0,0.0,0.045833334,0.04592902,0.225,0.29032257,0.30769232,0.6944444
0.23057953,0.062801935,0.31660232,0.15384616,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.12,0.0,0.25,0.25,0.060606062,0.060606062,0.033333335,0.0,0.25,0.29032257,0.30769232,0.537037
0.16892725,0.053140096,0.2046332,0.2948718,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.24,0.05263158,0.38,0.625,0.015151516,0.0,0.16666667,0.16492693,0.3,0.38709676,0.30769232,0.6944444
0.15289766,0.009661836,0.23552124,0.33333334,0.0,0.0,0.96,0.4945055,0.6666667,0.6666667,0.27,0.21052632,0.52,0.25,0.030303031,0.030303031,0.21666667,0.16283925,0.375,0.38709676,0.30769232,0.9259259
0.23181258,0.009661836,0.2972973,0.08974359,0.10526316,0.0,0.73,0.25274727,0.6666667,0.5,0.11,0.10526316,0.18,0.25,0.0,0.0,0.37083334,0.0,0.25,0.29032257,0.34615386,1.0
0.30086315,0.028985508,0.2818533,0.47435898,0.0,0.0,0.95,0.45054945,0.6666667,0.6666667,0.37,0.05263158,0.49,0.25,0.0,0.0,0.0625,0.18162839,0.3,0.38709676,0.30769232,0.75
0.4352651,0.038647342,0.41312742,0.25641027,0.05263158,0.0,0.86,0.53846157,0.6666667,0.5,0.22,0.05263158,0.41,0.25,0.015151516,0.015151516,0.12916666,0.3361169,0.3,0.48387095,0.34615386,0.712963
0.21331689,0.033816423,0.24324325,0.33333334,0.05263158,0.05263158,0.93,0.13186814,0.44444445,0.33333334,0.27,0.10526316,0.15,0.25,0.0,0.0,0.16666667,0.21085595,0.5,0.3548387,0.34615386,0.7685185
0.23057953,0.077294685,0.36679536,0.20512821,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.19,0.0,0.26,0.25,0.0,0.0,0.14166667,0.0,0.25,0.29032257,0.34615386,0.6296296
0.36744758,0.033816423,0.45559844,0.24358974,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.19,0.05263158,0.42,0.28125,0.015151516,0.015151516,0.15416667,0.18997912,0.275,0.38709676,0.30769232,0.8148148
0.23181258,0.004830918,0.12741312,0.15384616,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.14,0.21052632,0.29,0.25,0.030303031,0.030303031,0.125,0.22129436,0.3,0.3548387,0.34615386,0.6666667
0.37237978,0.009661836,0.27413127,0.14102565,0.15789473,0.10526316,0.56,0.10989011,0.0,0.0,0.16,0.05263158,0.25,0.03125,0.0,0.0,0.15,0.17118998,0.325,0.32258064,0.30769232,0.7962963
0.2675709,0.014492754,0.21235521,0.25641027,0.0,0.0,0.9,0.25274727,0.6666667,0.6666667,0.2,0.2631579,0.25,0.25,0.015151516,0.015151516,0.40833333,0.17954071,0.35,0.38709676,0.42307693,0.8425926
0.26140568,0.062801935,0.23552124,0.4871795,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.34,0.0,0.34,0.625,0.0,0.0,0.033333335,0.0,0.2,0.29032257,0.30769232,0.19444445
0.27250308,0.077294685,0.3243243,0.15384616,0.0,0.0,0.6,0.10989011,0.44444445,0.6666667,0.15,0.0,0.2,0.78125,0.015151516,0.0,0.24583334,0.1691023,0.275,0.29032257,0.30769232,0.8148148
0.13316892,0.038647342,0.15057915,0.15384616,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.13,0.15789473,0.33,0.25,0.030303031,0.030303031,0.22916667,0.20876826,0.3,0.32258064,0.3846154,0.8703704
0.15536375,0.033816423,0.15830116,0.21794872,0.0,0.0,0.88,0.20879121,0.44444445,0.6666667,0.17,0.21052632,0.35,0.25,0.0,0.0,0.09583333,0.0,0.225,0.29032257,0.30769232,0.3425926
0.28729963,0.0,0.28957528,0.5641026,0.15789473,0.10526316,0.75,0.12087912,0.33333334,0.0,0.63,0.31578946,0.25,0.28125,0.07575758,0.07575758,0.108333334,0.17745303,0.45,0.38709676,0.30769232,0.8148148
0.22318126,0.072463766,0.32046333,0.26923078,0.0,0.0,0.95,0.26373628,0.6666667,0.6666667,0.22,0.0,0.14,0.25,0.07575758,0.07575758,0.30833334,0.0,0.25,0.29032257,0.3846154,0.37962964
0.43033293,0.048309177,0.34749034,0.43589744,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.26,0.10526316,0.44,0.25,0.045454547,0.045454547,0.108333334,0.13569938,0.25,0.4516129,0.30769232,0.6666667
0.27496916,0.004830918,0.33590734,0.17948718,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.15,0.05263158,0.33,0.25,0.015151516,0.015151516,0.29166666,0.0,0.225,0.29032257,0.34615386,0.6944444
0.41060418,0.19323671,0.5405405,0.15384616,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.12,0.0,0.17,0.25,0.0,0.0,0.4375,0.21294363,0.425,0.29032257,0.53846157,1.0
0.0,0.2415459,0.45559844,0.17948718,0.05263158,0.05263158,0.93,0.62637365,0.6666667,0.0,0.0,0.0,0.2,0.03125,0.0,0.0,0.0375,0.0,0.225,0.29032257,0.30769232,0.7685185
0.36128238,0.057971016,0.2046332,0.21794872,0.05263158,0.05263158,0.82,0.31868133,0.6666667,0.6666667,0.23,0.0,0.35,0.25,0.060606062,0.060606062,0.3125,0.19832985,0.325,0.38709676,0.3846154,0.8333333
0.11467324,0.028985508,0.15057915,0.26923078,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.21,0.10526316,0.29,0.375,0.015151516,0.015151516,0.35,0.1336117,0.375,0.32258064,0.42307693,0.7685185
0.1565968,0.014492754,0.096525095,0.102564104,0.0,0.0,0.88,0.10989011,0.44444445,0.6666667,0.08,0.05263158,0.75,0.25,0.030303031,0.030303031,0.033333335,0.11899791,0.2,0.38709676,0.0,0.8148148
0.13440198,0.019323671,0.21235521,0.16666667,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.14,0.05263158,0.5,0.03125,0.030303031,0.030303031,0.22916667,0.13569938,0.25,0.3548387,0.34615386,1.0
0.057953145,0.024154589,0.042471044,0.115384616,0.0,0.0,1.0,0.010989011,0.7777778,1.0,0.09,0.10526316,0.33,0.25,0.0,0.0,0.15,0.22546972,0.325,0.32258064,0.30769232,1.0
0.11467324,0.062801935,0.14671814,0.17948718,0.05263158,0.05263158,0.8,0.14285715,0.44444445,0.33333334,0.15,0.0,0.27,0.03125,0.0,0.0,0.2375,0.0,0.275,0.29032257,0.34615386,0.6944444
0.0,0.048309177,0.15057915,0.17948718,0.0,0.0,0.93,0.50549453,0.6666667,0.6666667,0.0,0.10526316,0.53,0.25,0.030303031,0.030303031,0.37083334,0.20876826,0.3,0.32258064,0.34615386,0.8703704
0.14919852,0.14492753,0.25482625,0.12820514,0.15789473,0.10526316,0.71,0.2967033,0.6666667,0.33333334,0.15,0.0,0.93,0.25,0.045454547,0.045454547,0.033333335,0.0,0.2,0.29032257,0.30769232,0.537037
0.24290998,0.048309177,0.33204633,0.34615386,0.0,0.0,0.69,0.10989011,0.44444445,0.6666667,0.29,0.05263158,0.31,0.25,0.030303031,0.030303031,0.29166666,0.0,0.375,0.29032257,0.3846154,0.6944444
